text	location	lon	lat	lat2	lon2	day
Out here out here rain an all trick or treating with my son	(513) Da Nati	-84.38686	39.26044	NA	NA	1
yes sir may I have your finest pumpkin spiced steak with a side of raw candy corn	 For all bookings:	-80.3887315	25.7443675	NA	NA	1
I hope the rain goes away forreal doe	IOWA CITY	-91.53812201	41.6549031	41.6611277	-91.5301683	1
Air is very cold along the Mississippi River. #tristatewx #ILWx @newburghweather @BeechTreeWx	Daviess County, Kentucky	-89.40372859	37.7724102	37.7307984	-87.1023746	1
Ain't no sunshine when she's gone .. It's not warm when she's away ...	Jeddah,Saudi arabia	39.22192	21.48825	21.5433333	39.1727778	1
@allyyyP enjoy college while you can. I may never get another winter break again haha	Boston	-71.14853563	42.6239996	42.3584308	-71.0597732	1
November rain	The Shed End	109.30154	-0.02612	51.1633469	0.8081701	1
Massive Í¾_Í± to @RhiannonHacks for hosting a great Halloween party tonight with the Forest people #pumpkin #winner #beauts #halloween		-0.0520196	51.44520087	NA	NA	1
Now buddy is out in the rain cleanin off his house lmao	Oromocto NB 	-65.47039271	47.02756295	45.8486646	-66.481286	1
It's so warm outside I'm waiting for a natural phenomenon		-77.62955441	38.79280325	NA	NA	1
Just follow the wind~~~		101.4979044	3.07271663	NA	NA	1
Time to put the Thanksgiving decorations up!		-83.82408187	43.6191475	NA	NA	1
Š—“@AutumnMOliverr: Š—“@KyraLHatten: so corny. Í¾_ÍÙäŠ—Š— lmao autumn stop.	Where the sky ends. 	-81.55046053	41.50286284	50.7508888	-1.6109213	1
This is a great holiday	Tallahassee, FL	-84.30049457	30.4399146	30.4382559	-84.2807329	1
¿_¿_¿µ¿_¿± ªª_ ª_ªÜ¿_ª_¿© ªÄª_¿_ª_¿±ª_ ¿éª_¿±ªæª_¿Àª_ #¿é¿µª_ª_¿±ª_ #Severe #storm in #Missouri @ West Park Mall http://t.co/cCFX98C1Hh	USA - Missouri 	-89.55133169	37.30686765	37.9642529	-91.8318334	1
Happy Halloween from me and my pillaging pumpkin Í¾_Í_ÛÍ¾_Í±Ž #halloween2013 #viking #pumpkin http://t.co/ICmHo1Rag1	Alabama	-86.83441149	33.26382506	32.3182314	-86.902298	1
